name,type,depth,width,method,std_es_epoch,ricci_es_epoch,std_es_acc,ricci_es_acc,std_es_stopped,ricci_es_stopped,std_stop_epoch,ricci_stop_epoch
flat_4_16,flat,4,16,iqr,14,1,0.974,0.927,True,True,19,6
flat_4_32,flat,4,32,iqr,11,8,0.9805,0.966,True,True,16,13
flat_4_64,flat,4,64,iqr,6,2,0.9805,0.962,True,True,11,7
flat_4_128,flat,4,128,iqr,10,1,0.9835,0.9675,True,True,15,6
flat_5_16,flat,5,16,iqr,13,2,0.976,0.9525,True,True,18,7
flat_5_32,flat,5,32,iqr,6,1,0.977,0.935,True,True,11,6
flat_5_64,flat,5,64,iqr,12,1,0.981,0.9565,True,True,17,6
flat_5_128,flat,5,128,iqr,10,3,0.9815,0.976,True,True,15,8
flat_6_16,flat,6,16,iqr,12,1,0.9695,0.9205,True,True,17,6
flat_6_32,flat,6,32,iqr,18,1,0.9775,0.94,True,True,23,6
flat_6_64,flat,6,64,iqr,6,2,0.978,0.964,True,True,11,7
flat_6_128,flat,6,128,iqr,10,2,0.9835,0.9755,True,True,15,7
flat_7_16,flat,7,16,iqr,14,3,0.974,0.9595,True,True,19,8
flat_7_32,flat,7,32,iqr,7,1,0.973,0.9325,True,True,12,6
flat_7_64,flat,7,64,iqr,15,2,0.976,0.964,True,True,20,7
flat_7_128,flat,7,128,iqr,7,1,0.977,0.9695,True,True,12,6
flat_8_16,flat,8,16,iqr,12,3,0.968,0.952,True,True,17,8
flat_8_32,flat,8,32,iqr,10,1,0.9705,0.929,True,True,15,6
flat_8_64,flat,8,64,iqr,15,4,0.974,0.9625,True,True,20,9
flat_8_128,flat,8,128,iqr,11,9,0.9825,0.9735,True,True,16,14
flat_9_16,flat,9,16,iqr,20,10,0.969,0.9565,True,True,25,15
flat_9_32,flat,9,32,iqr,13,5,0.9705,0.9615,True,True,18,10
flat_9_64,flat,9,64,iqr,3,1,0.968,0.9535,True,True,8,6
flat_9_128,flat,9,128,iqr,6,12,0.973,0.9505,True,True,11,17
flat_10_16,flat,10,16,iqr,10,1,0.964,0.9,True,True,15,6
flat_10_32,flat,10,32,iqr,36,8,0.9725,0.9615,True,True,41,13
flat_10_64,flat,10,64,iqr,30,1,0.9765,0.945,True,True,35,6
flat_10_128,flat,10,128,iqr,4,1,0.9765,0.965,True,True,9,6
flat_11_16,flat,11,16,iqr,17,1,0.9675,0.894,True,True,22,6
flat_11_32,flat,11,32,iqr,10,1,0.9745,0.8965,True,True,15,6
flat_11_64,flat,11,64,iqr,11,5,0.9735,0.963,True,True,16,10
flat_11_128,flat,11,128,iqr,10,2,0.9755,0.9665,True,True,15,7
flat_12_16,flat,12,16,iqr,16,4,0.9615,0.925,True,True,21,9
flat_12_32,flat,12,32,iqr,8,1,0.965,0.881,True,True,13,6
flat_12_64,flat,12,64,iqr,8,2,0.9695,0.9515,True,True,13,7
flat_12_128,flat,12,128,iqr,9,1,0.975,0.9525,True,True,14,6
bottleneck_4_128,bottleneck,4,128,iqr,12,5,0.9795,0.972,True,True,17,10
bottleneck_5_128,bottleneck,5,128,iqr,11,1,0.978,0.9615,True,True,16,6
bottleneck_6_128,bottleneck,6,128,iqr,5,3,0.973,0.965,True,True,10,8
bottleneck_7_128,bottleneck,7,128,iqr,15,1,0.9765,0.942,True,True,20,6
bottleneck_8_128,bottleneck,8,128,iqr,13,1,0.9635,0.899,True,True,18,6
bottleneck_9_128,bottleneck,9,128,iqr,13,5,0.963,0.9495,True,True,18,10
bottleneck_10_128,bottleneck,10,128,iqr,25,1,0.9695,0.89,True,True,30,6
bottleneck_11_128,bottleneck,11,128,iqr,25,1,0.963,0.8675,True,True,30,6
bottleneck_12_128,bottleneck,12,128,iqr,20,1,0.968,0.904,True,True,25,6
