name,type,depth,width,std_es_epoch,ricci_es_epoch,std_es_acc,ricci_es_acc,avg_ricci_at_std_es,avg_ricci_at_ricci_es,last_transition_ricci_at_ricci_es,layer_0_ricci_at_ricci_es,layer_1_ricci_at_ricci_es,layer_2_ricci_at_ricci_es,layer_3_ricci_at_ricci_es,layer_4_ricci_at_ricci_es,layer_5_ricci_at_ricci_es,layer_6_ricci_at_ricci_es,layer_7_ricci_at_ricci_es,layer_8_ricci_at_ricci_es,layer_9_ricci_at_ricci_es,layer_10_ricci_at_ricci_es,layer_11_ricci_at_ricci_es
bottleneck_10_128,bottleneck,10,128,25,1,0.9695,0.89,-0.5566451305422191,-0.5383414825461925,-0.29586593586442805,-0.4281275289324374,-0.6364400319953626,-0.5942088780373141,-0.5696212999149113,-0.6080073426032675,-0.5438118356224226,-0.5277446353858775,-0.5420524719715994,-0.6375348651343062,-0.29586593586442805,nan,nan
bottleneck_11_128,bottleneck,11,128,25,2,0.963,0.9135,-0.5249773585864338,-0.5955894732880626,-0.20876050275482338,-0.5888621297632379,-0.5663628430821319,-0.6692109994020685,-0.6734977054879409,-0.6413100021399323,-0.7430550267520932,-0.6999116547766044,-0.651191635520257,-0.6370976050136106,-0.47222410147598837,-0.20876050275482338,nan
bottleneck_12_128,bottleneck,12,128,20,1,0.968,0.904,-0.5160854831142979,-0.6120625783666367,-0.5791317312308818,-0.5299949811846074,-0.6879054605171213,-0.6126831400022753,-0.7038602519837931,-0.6823656245677949,-0.6882425974126001,-0.7400008907359228,-0.6169783472567912,-0.4800562969120702,-0.5164423268923142,-0.5070892917034682,-0.5791317312308818
bottleneck_4_128,bottleneck,4,128,12,13,0.9795,0.977,-0.4459518780362049,-0.46869541836042256,-0.2100535934030678,-0.6120112730110631,-0.5461441138195778,-0.5065726932079815,-0.2100535934030678,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_5_128,bottleneck,5,128,11,16,0.978,0.97,-0.48076121111245074,-0.505463356311581,-0.19705571282601714,-0.5300275308813103,-0.5798735817736438,-0.6980021016825995,-0.5223578543943344,-0.19705571282601714,nan,nan,nan,nan,nan,nan,nan
bottleneck_6_128,bottleneck,6,128,5,11,0.973,0.9715,-0.47553967808688724,-0.49730678087664976,-0.06261816397426785,-0.595938964631703,-0.587498564451647,-0.6492318760322875,-0.5592927703264488,-0.5292603458435443,-0.06261816397426785,nan,nan,nan,nan,nan,nan
bottleneck_7_128,bottleneck,7,128,15,8,0.9765,0.973,-0.49551832579370203,-0.5344735264014325,-0.12864572465443708,-0.5805936904753584,-0.6307607964157773,-0.6182884853454054,-0.6636330218342914,-0.627696081900597,-0.49169688418416146,-0.12864572465443708,nan,nan,nan,nan,nan
bottleneck_8_128,bottleneck,8,128,13,1,0.9635000000000001,0.899,-0.5364275310215929,-0.5941548528653455,-0.05428187448765592,-0.653364183653607,-0.6495001851364921,-0.6268874175925805,-0.7054039634988778,-0.7136443372536744,-0.658683560357427,-0.691473300942449,-0.05428187448765592,nan,nan,nan,nan
bottleneck_9_128,bottleneck,9,128,13,1,0.963,0.904,-0.5783309411026649,-0.5960432172833401,-0.20899895171887567,-0.5754945605117002,-0.5616626107652404,-0.6748432758763645,-0.6755102513157889,-0.7043891977400216,-0.7277051691359845,-0.6571242073657202,-0.5786607311203646,-0.20899895171887567,nan,nan,nan
flat_10_128,flat,10,128,4,18,0.9765,0.9775,-0.5667397153361854,-0.6106198209970565,-0.03910674983799102,-0.6363093553583732,-0.6237825576776701,-0.6759506964958719,-0.7248972632643598,-0.6823125150204987,-0.7445242532047932,-0.7178744423711865,-0.6607416564664865,-0.6006987202733332,-0.03910674983799102,nan,nan
