name,type,depth,width,early_global_ricci_r,early_global_ricci_z,r_rank,z_rank,long_term_acc,acc_rank,final_acc,best_acc,best_acc_epoch
flat_7_128,flat,7,128,0.390268,0.280214,33,33,0.89579,1,0.9,0.908,41
flat_4_128,flat,4,128,0.787569,nan,44,44,0.894065,2,0.901,0.901,38
flat_9_128,flat,9,128,0.37429,0.198986,31,28,0.892105,3,0.902,0.909,114
flat_12_128,flat,12,128,0.518779,0.219985,40,29,0.88966,4,0.9,0.903,34
flat_10_128,flat,10,128,0.549427,0.286358,41,35,0.88725,5,0.895,0.903,58
flat_11_128,flat,11,128,0.569446,0.257885,43,30,0.88595,6,0.896,0.904,164
flat_8_128,flat,8,128,0.345003,0.19177,29,27,0.88309,7,0.889,0.895,31
flat_10_64,flat,10,64,0.380669,0.173364,32,25,0.882065,8,0.885,0.895,23
flat_12_64,flat,12,64,0.484018,0.188613,38,26,0.8817,9,0.887,0.899,68
flat_9_64,flat,9,64,0.493622,0.267843,39,32,0.881555,10,0.886,0.903,47
flat_5_128,flat,5,128,-0.685797,-0.908943,6,2,0.88116,11,0.883,0.888,16
flat_4_64,flat,4,64,-0.584981,nan,7,41,0.881025,12,0.885,0.888,24
flat_6_128,flat,6,128,0.040036,0.050388,20,18,0.88073,13,0.884,0.889,29
flat_5_64,flat,5,64,-0.762663,-1.063065,3,1,0.87849,14,0.879,0.889,27
flat_6_64,flat,6,64,0.365311,0.309453,30,37,0.87838,15,0.879,0.885,28
flat_7_64,flat,7,64,0.047065,0.029242,21,17,0.87578,16,0.878,0.884,28
flat_11_64,flat,11,64,0.300408,0.126557,27,21,0.87557,17,0.887,0.891,155
flat_8_64,flat,8,64,-0.250514,-0.132927,16,12,0.87541,18,0.877,0.892,17
flat_10_32,flat,10,32,0.565029,0.281711,42,34,0.872325,19,0.88,0.885,77
flat_5_32,flat,5,32,-0.514505,-0.57442,9,3,0.87218,20,0.872,0.885,44
flat_7_32,flat,7,32,0.465802,0.299656,37,36,0.87179,21,0.873,0.884,59
flat_11_32,flat,11,32,0.321104,0.129455,28,22,0.870345,22,0.873,0.883,21
bottleneck_4_128,bottleneck,4,128,-0.902344,nan,1,45,0.870185,23,0.868,0.883,12
flat_12_32,flat,12,32,-0.16549,-0.059789,17,14,0.86995,24,0.868,0.887,63
flat_5_16,flat,5,16,0.907142,1.712416,45,40,0.8684,25,0.873,0.88,30
flat_6_32,flat,6,32,0.161486,0.116561,23,20,0.86835,26,0.87,0.88,14
flat_7_16,flat,7,16,0.422089,0.267438,35,31,0.866555,27,0.871,0.878,99
flat_9_16,flat,9,16,-0.501068,-0.255571,11,8,0.86641,28,0.872,0.884,44
flat_10_16,flat,10,16,-0.507581,-0.231365,10,10,0.86526,29,0.863,0.888,22
flat_8_32,flat,8,32,-0.69871,-0.437347,5,5,0.86513,30,0.868,0.88,23
flat_9_32,flat,9,32,0.277642,0.134246,25,23,0.86468,31,0.867,0.876,12
bottleneck_7_128,bottleneck,7,128,-0.466797,-0.333143,12,7,0.864305,32,0.868,0.881,17
flat_4_16,flat,4,16,0.129579,nan,22,43,0.86402,33,0.865,0.884,11
flat_12_16,flat,12,16,0.170824,0.061574,24,19,0.861015,34,0.854,0.88,16
bottleneck_5_128,bottleneck,5,128,0.446609,0.499283,36,39,0.86044,35,0.858,0.88,12
flat_4_32,flat,4,32,-0.759293,nan,4,42,0.859345,36,0.853,0.88,12
flat_11_16,flat,11,16,-0.311583,-0.123773,15,13,0.858855,37,0.858,0.88,14
bottleneck_6_128,bottleneck,6,128,0.417447,0.325154,34,38,0.85718,38,0.858,0.879,9
flat_8_16,flat,8,16,-0.798119,-0.555463,2,4,0.85556,39,0.857,0.875,50
flat_6_16,flat,6,16,-0.544491,-0.435155,8,6,0.85502,40,0.855,0.874,18
bottleneck_8_128,bottleneck,8,128,-0.427249,-0.2369,13,9,0.852745,41,0.851,0.883,21
bottleneck_12_128,bottleneck,12,128,-0.133793,-0.048459,18,16,0.84982,42,0.849,0.871,37
bottleneck_9_128,bottleneck,9,128,0.29307,0.138903,26,24,0.84757,43,0.842,0.873,25
bottleneck_11_128,bottleneck,11,128,-0.412762,-0.167141,14,11,0.84275,44,0.85,0.863,8
bottleneck_10_128,bottleneck,10,128,-0.119811,-0.053185,19,15,0.836075,45,0.834,0.865,16
