name,type,depth,width,early_ricci_score,ricci_rank,long_term_acc,acc_rank,final_acc,best_acc,best_acc_epoch,ricci_ep0,ricci_ep1,ricci_ep2,ricci_ep3,ricci_ep4,ricci_ep5,ricci_ep6,ricci_ep7,ricci_ep8,ricci_ep9,ricci_ep10,ricci_ep11,ricci_ep12,ricci_ep13,ricci_ep14,ricci_ep15,ricci_ep16,ricci_ep17,ricci_ep18,ricci_ep19,ricci_ep20,ricci_ep21,ricci_ep22,ricci_ep23,ricci_ep24,ricci_ep25,ricci_ep26,ricci_ep27,ricci_ep28,ricci_ep29,ricci_ep30,ricci_ep31,ricci_ep32,ricci_ep33,ricci_ep34,ricci_ep35,ricci_ep36,ricci_ep37,ricci_ep38,ricci_ep39
flat_7_128,flat,7,128,-0.560748,30,0.89579,1,0.9,0.908,41,-0.575253,-0.583796,-0.595241,-0.55782,-0.580084,-0.558444,-0.580527,-0.564398,-0.573314,-0.558242,-0.550663,-0.581706,-0.563006,-0.532499,-0.550423,-0.574302,-0.550792,-0.541749,-0.576444,-0.540789,-0.555363,-0.56153,-0.559585,-0.574254,-0.574584,-0.557266,-0.536455,-0.557316,-0.568788,-0.572187,-0.562058,-0.566359,-0.546173,-0.559345,-0.55152,-0.55333,-0.547342,-0.542521,-0.544681,-0.54977
flat_4_128,flat,4,128,-0.517082,42,0.894065,2,0.901,0.901,38,-0.578335,-0.569216,-0.538712,-0.542128,-0.531511,-0.543227,-0.521793,-0.532889,-0.514009,-0.538031,-0.523287,-0.526873,-0.511437,-0.529506,-0.516893,-0.514039,-0.511631,-0.512314,-0.528037,-0.523874,-0.512536,-0.530763,-0.525247,-0.522257,-0.491091,-0.489003,-0.498998,-0.522105,-0.481146,-0.508625,-0.516148,-0.481326,-0.515292,-0.497952,-0.490355,-0.506093,-0.498461,-0.492914,-0.495568,-0.499667
flat_9_128,flat,9,128,-0.589647,19,0.892105,3,0.902,0.909,114,-0.619961,-0.603824,-0.604759,-0.598542,-0.622255,-0.613714,-0.598966,-0.596953,-0.59223,-0.580397,-0.592779,-0.597315,-0.590884,-0.581196,-0.570369,-0.608124,-0.587252,-0.579178,-0.584141,-0.591243,-0.591484,-0.580715,-0.587819,-0.615247,-0.588417,-0.574694,-0.602083,-0.608489,-0.594453,-0.571059,-0.567636,-0.574083,-0.593961,-0.605727,-0.582426,-0.566965,-0.574909,-0.565784,-0.562387,-0.563446
flat_12_128,flat,12,128,-0.618404,6,0.88966,4,0.9,0.903,34,-0.646225,-0.634472,-0.64566,-0.633109,-0.609103,-0.636051,-0.639994,-0.672709,-0.631681,-0.639044,-0.63479,-0.637764,-0.624701,-0.630491,-0.648644,-0.643524,-0.626174,-0.621269,-0.625219,-0.630736,-0.61666,-0.632859,-0.616538,-0.6097,-0.61303,-0.632425,-0.613222,-0.609352,-0.606325,-0.588801,-0.579476,-0.609713,-0.582306,-0.566571,-0.598267,-0.610427,-0.575876,-0.57835,-0.597709,-0.58719
flat_10_128,flat,10,128,-0.60746,11,0.88725,5,0.895,0.903,58,-0.616079,-0.606586,-0.62564,-0.621402,-0.630013,-0.616896,-0.608994,-0.625943,-0.586373,-0.603736,-0.605703,-0.630867,-0.599302,-0.622889,-0.59226,-0.611328,-0.612505,-0.603977,-0.613979,-0.601835,-0.578274,-0.582203,-0.600219,-0.612494,-0.632113,-0.618161,-0.598222,-0.632133,-0.601157,-0.585082,-0.605649,-0.593258,-0.611579,-0.611028,-0.603834,-0.592076,-0.598202,-0.593425,-0.609459,-0.603524
flat_11_128,flat,11,128,-0.61032,9,0.88595,6,0.896,0.904,164,-0.629485,-0.622867,-0.611098,-0.612792,-0.606581,-0.608929,-0.582054,-0.608755,-0.625756,-0.611097,-0.631438,-0.630009,-0.621653,-0.618155,-0.633302,-0.610127,-0.634861,-0.6249,-0.622437,-0.637381,-0.621563,-0.61812,-0.618276,-0.616135,-0.600212,-0.594457,-0.618455,-0.585381,-0.603895,-0.607016,-0.576602,-0.58895,-0.587331,-0.581381,-0.583433,-0.612764,-0.604406,-0.594876,-0.606417,-0.60944
flat_8_128,flat,8,128,-0.590516,18,0.88309,7,0.889,0.895,31,-0.608684,-0.627166,-0.626198,-0.631137,-0.608218,-0.615468,-0.603344,-0.581098,-0.597492,-0.597683,-0.592541,-0.620387,-0.57498,-0.614321,-0.582812,-0.588376,-0.589909,-0.565531,-0.578631,-0.564093,-0.607911,-0.590008,-0.621928,-0.594293,-0.58713,-0.572795,-0.597956,-0.571334,-0.596413,-0.560209,-0.585308,-0.569638,-0.577201,-0.589511,-0.573875,-0.556598,-0.59,-0.563078,-0.572253,-0.575123
flat_10_64,flat,10,64,-0.625316,4,0.882065,8,0.885,0.895,23,-0.645169,-0.617778,-0.655217,-0.643635,-0.631482,-0.661038,-0.63148,-0.644003,-0.639666,-0.61819,-0.602974,-0.641595,-0.632375,-0.636307,-0.612063,-0.618017,-0.627793,-0.609736,-0.618962,-0.616844,-0.624222,-0.635171,-0.622848,-0.620486,-0.617287,-0.613734,-0.621264,-0.610916,-0.623681,-0.623972,-0.61305,-0.629565,-0.627098,-0.630495,-0.613924,-0.628642,-0.609133,-0.594756,-0.620769,-0.627313
flat_12_64,flat,12,64,-0.598077,15,0.8817,9,0.887,0.899,68,-0.617446,-0.627573,-0.622531,-0.616267,-0.629517,-0.597801,-0.595093,-0.59869,-0.588988,-0.592579,-0.613021,-0.577141,-0.606568,-0.591692,-0.584667,-0.599667,-0.60411,-0.593162,-0.601368,-0.59093,-0.59214,-0.596361,-0.594434,-0.605769,-0.604044,-0.609209,-0.595932,-0.591487,-0.585675,-0.597629,-0.601203,-0.583148,-0.605953,-0.591481,-0.596802,-0.585785,-0.58945,-0.586309,-0.581528,-0.579927
flat_9_64,flat,9,64,-0.600543,13,0.881555,10,0.886,0.903,47,-0.623923,-0.620193,-0.614497,-0.632654,-0.605659,-0.569204,-0.616841,-0.584419,-0.589117,-0.59338,-0.587471,-0.588957,-0.592138,-0.594669,-0.591596,-0.611815,-0.616109,-0.619712,-0.614332,-0.612003,-0.610609,-0.597606,-0.593359,-0.609893,-0.603891,-0.59845,-0.591903,-0.597541,-0.601346,-0.568683,-0.59716,-0.612071,-0.582613,-0.599017,-0.603658,-0.610013,-0.589391,-0.606947,-0.58837,-0.580516
