name,type,depth,width,early_ricci_score,ricci_rank,long_term_acc,acc_rank,final_acc,best_acc,best_acc_epoch,ricci_ep0,ricci_ep1,ricci_ep2,ricci_ep3,ricci_ep4,ricci_ep5,ricci_ep6,ricci_ep7,ricci_ep8,ricci_ep9
flat_7_128,flat,7,128,-0.674945,2,0.981982,1,0.9875,0.9875,199,-0.654763,-0.679865,-0.682132,-0.679487,-0.675799,-0.681734,-0.684564,-0.671029,-0.666008,-0.674069
flat_6_32,flat,6,32,-0.700584,15,0.975923,2,0.9775,0.984,138,-0.705674,-0.704787,-0.711548,-0.70986,-0.695948,-0.701721,-0.695759,-0.69627,-0.686917,-0.697361
flat_6_16,flat,6,16,-0.649706,21,0.97165,3,0.976,0.9795,144,-0.682827,-0.624362,-0.654355,-0.666674,-0.661545,-0.645791,-0.647281,-0.652973,-0.643036,-0.618219
flat_4_16,flat,4,16,-0.683439,23,0.975263,4,0.9795,0.9805,58,-0.599841,-0.614592,-0.66852,-0.701471,-0.71466,-0.710038,-0.713628,-0.700206,-0.705984,-0.705455
flat_9_128,flat,9,128,-0.623577,38,0.981953,5,0.9875,0.9885,173,-0.625684,-0.636145,-0.623298,-0.611764,-0.610832,-0.614936,-0.643365,-0.623102,-0.619921,-0.626719
flat_7_16,flat,7,16,-0.611934,16,0.970882,6,0.974,0.979,168,-0.650221,-0.643771,-0.618158,-0.623094,-0.589718,-0.617856,-0.575492,-0.598605,-0.60194,-0.600481
flat_5_64,flat,5,64,-0.672097,1,0.980087,7,0.9835,0.9855,162,-0.655246,-0.66984,-0.674503,-0.683903,-0.67172,-0.670534,-0.670252,-0.669019,-0.677243,-0.678711
flat_4_64,flat,4,64,-0.690134,10,0.979442,8,0.982,0.984,34,-0.69051,-0.717647,-0.714097,-0.701298,-0.686947,-0.683794,-0.68613,-0.67588,-0.678918,-0.666116
flat_9_16,flat,9,16,-0.681764,14,0.972297,9,0.9765,0.982,183,-0.680598,-0.6597,-0.699316,-0.674863,-0.686334,-0.680494,-0.689722,-0.670379,-0.685116,-0.691119
flat_7_64,flat,7,64,-0.680144,6,0.97769,10,0.9845,0.9845,165,-0.65623,-0.682651,-0.681494,-0.683698,-0.671424,-0.691082,-0.681548,-0.690224,-0.680705,-0.682381
flat_5_128,flat,5,128,-0.693443,42,0.983365,11,0.984,0.9875,90,-0.639282,-0.681869,-0.697638,-0.706793,-0.699881,-0.712304,-0.697613,-0.698847,-0.699341,-0.700864
flat_4_32,flat,4,32,-0.668163,22,0.97911,12,0.98,0.983,56,-0.659604,-0.687927,-0.679567,-0.667248,-0.681487,-0.664382,-0.674975,-0.660514,-0.663894,-0.642036
flat_9_64,flat,9,64,-0.719345,9,0.97697,13,0.984,0.984,101,-0.676895,-0.703673,-0.731919,-0.732596,-0.732541,-0.730125,-0.725804,-0.722781,-0.723863,-0.713251
