name,type,depth,width,selected_for_phase2,avg_ricci_phase1,acc_phase1,std_es_epoch_phase2,std_es_acc_phase2,ricci_es_epoch_phase2,ricci_es_acc_phase2,ricci_min_epoch_phase2,ricci_min_acc_phase2,final_acc_phase2,final_ricci_phase2
flat_4_16,flat,4,16,True,-0.5418763075183198,0.973,19,0.9765,1,0.9129999999999999,1,0.9129999999999999,0.9775,-0.4285852637910799
flat_4_32,flat,4,32,False,-0.6815338896596065,0.9745,nan,nan,nan,nan,nan,nan,nan,nan
flat_4_64,flat,4,64,False,-0.6850763909461791,0.981,nan,nan,nan,nan,nan,nan,nan,nan
flat_4_128,flat,4,128,False,-0.65569287733057,0.9795,nan,nan,nan,nan,nan,nan,nan,nan
flat_5_16,flat,5,16,True,-0.5881908916188061,0.9695,18,0.975,4,0.96,4,0.96,0.978,-0.5553653767281597
flat_5_32,flat,5,32,False,-0.6379525501283378,0.9685000000000001,nan,nan,nan,nan,nan,nan,nan,nan
flat_5_64,flat,5,64,False,-0.7073154231694971,0.9745,nan,nan,nan,nan,nan,nan,nan,nan
flat_5_128,flat,5,128,False,-0.6718790904680337,0.9739999999999999,nan,nan,nan,nan,nan,nan,nan,nan
flat_6_16,flat,6,16,False,-0.6049828299717864,0.9704999999999999,nan,nan,nan,nan,nan,nan,nan,nan
flat_6_32,flat,6,32,False,-0.6918893118787833,0.9745,nan,nan,nan,nan,nan,nan,nan,nan
flat_6_64,flat,6,64,False,-0.6777205745262511,0.9765,nan,nan,nan,nan,nan,nan,nan,nan
flat_6_128,flat,6,128,False,-0.6488846339507857,0.9775,nan,nan,nan,nan,nan,nan,nan,nan
flat_7_16,flat,7,16,True,-0.5750472828546577,0.9534999999999999,8,0.9615,1,0.866,44,0.9645,0.9685000000000001,-0.6153577418749743
flat_7_32,flat,7,32,False,-0.73594901418929,0.971,nan,nan,nan,nan,nan,nan,nan,nan
flat_7_64,flat,7,64,False,-0.67569860363922,0.9739999999999999,nan,nan,nan,nan,nan,nan,nan,nan
flat_7_128,flat,7,128,False,-0.682755180075547,0.9745,nan,nan,nan,nan,nan,nan,nan,nan
flat_8_16,flat,8,16,False,-0.703244232738861,0.9685000000000001,nan,nan,nan,nan,nan,nan,nan,nan
flat_8_32,flat,8,32,False,-0.6855685230195164,0.9615,nan,nan,nan,nan,nan,nan,nan,nan
flat_8_64,flat,8,64,False,-0.6897225688155927,0.9745,nan,nan,nan,nan,nan,nan,nan,nan
flat_8_128,flat,8,128,False,-0.6777704156273723,0.9625,nan,nan,nan,nan,nan,nan,nan,nan
flat_9_16,flat,9,16,False,-0.625248222372806,0.959,nan,nan,nan,nan,nan,nan,nan,nan
flat_9_32,flat,9,32,False,-0.6763730300088356,0.964,nan,nan,nan,nan,nan,nan,nan,nan
flat_9_64,flat,9,64,False,-0.7134998753763815,0.971,nan,nan,nan,nan,nan,nan,nan,nan
flat_9_128,flat,9,128,False,-0.6545202975861028,0.972,nan,nan,nan,nan,nan,nan,nan,nan
flat_10_16,flat,10,16,False,-0.6317203792539874,0.9635000000000001,nan,nan,nan,nan,nan,nan,nan,nan
flat_10_32,flat,10,32,False,-0.7670013785821481,0.961,nan,nan,nan,nan,nan,nan,nan,nan
flat_10_64,flat,10,64,True,-0.5887916441371538,0.9675,25,0.975,4,0.963,97,0.9789999999999999,0.9765,-0.6918569381166656
flat_10_128,flat,10,128,False,-0.6328875496527577,0.97,nan,nan,nan,nan,nan,nan,nan,nan
flat_11_16,flat,11,16,False,-0.6081157078934442,0.9595,nan,nan,nan,nan,nan,nan,nan,nan
flat_11_32,flat,11,32,False,-0.6922171163503139,0.9595,nan,nan,nan,nan,nan,nan,nan,nan
flat_11_64,flat,11,64,False,-0.6711023160384493,0.971,nan,nan,nan,nan,nan,nan,nan,nan
flat_11_128,flat,11,128,False,-0.7038331117209227,0.9685000000000001,nan,nan,nan,nan,nan,nan,nan,nan
flat_12_16,flat,12,16,False,-0.6609486172426912,0.961,nan,nan,nan,nan,nan,nan,nan,nan
flat_12_32,flat,12,32,False,-0.6455191689028639,0.9595,nan,nan,nan,nan,nan,nan,nan,nan
flat_12_64,flat,12,64,False,-0.6432150394383294,0.9725,nan,nan,nan,nan,nan,nan,nan,nan
flat_12_128,flat,12,128,True,-0.5880912733261147,0.9689999999999999,6,0.9689999999999999,15,0.9735,164,0.9795,0.983,-0.7163041905245161
bottleneck_4_128,bottleneck,4,128,False,-0.6622711562321995,0.9689999999999999,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_5_128,bottleneck,5,128,False,-0.6236347540693533,0.9765,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_6_128,bottleneck,6,128,False,-0.6686979831717206,0.9615,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_7_128,bottleneck,7,128,True,-0.5882391337514573,0.971,11,0.9689999999999999,1,0.9425,0,0.917,0.976,-0.6208589622085013
bottleneck_8_128,bottleneck,8,128,False,-0.6490162912231777,0.959,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_9_128,bottleneck,9,128,False,-0.6198049078752845,0.9645,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_10_128,bottleneck,10,128,True,-0.5930488852268138,0.961,23,0.9725,7,0.951,136,0.9695,0.9725,-0.6386279771167529
bottleneck_11_128,bottleneck,11,128,False,-0.6337906644941842,0.9505,nan,nan,nan,nan,nan,nan,nan,nan
bottleneck_12_128,bottleneck,12,128,True,-0.5963199970922676,0.956,25,0.959,2,0.8605000000000002,2,0.8605000000000002,0.9670000000000001,-0.5983385967398317
