architecture,depth,dataset,optimal_k,r_all,mean_accuracy
narrow_5,5,mnist_1_vs_7,500,-0.6400079075574664,0.9894428585256848
narrow_5,5,mnist_6_vs_8,500,-0.6254559323056627,0.9880952426365444
narrow_5,5,fmnist_sandals_vs_boots,500,-0.6307834941854812,0.984007145677294
narrow_5,5,fmnist_shirts_vs_coats,325,-0.0206602262740873,0.9815357165677208
narrow_11,11,mnist_1_vs_7,500,-0.6966155507339807,0.9903571375778744
narrow_11,11,mnist_6_vs_8,500,-0.6709479416713234,0.9883614327226368
narrow_11,11,fmnist_sandals_vs_boots,500,-0.492845760240028,0.983664290394102
narrow_11,11,fmnist_shirts_vs_coats,325,-0.2478467283138065,0.9842000007629396
wide_5,5,mnist_1_vs_7,500,-0.5199445025630179,0.9894928549017225
wide_5,5,mnist_6_vs_8,500,-0.584123695198999,0.9889603699956622
wide_5,5,fmnist_sandals_vs_boots,500,-0.653945957554944,0.9848428606987
wide_5,5,fmnist_shirts_vs_coats,325,0.12013432061762,0.9842285743781498
wide_11,11,mnist_1_vs_7,500,-0.7789526264865058,0.990657137972968
wide_11,11,mnist_6_vs_8,500,-0.7967701205743065,0.9893670550414494
wide_11,11,fmnist_sandals_vs_boots,500,-0.6346876615129637,0.9850428581237792
wide_11,11,fmnist_shirts_vs_coats,500,-0.1917142102269561,0.9852642859731402
bottleneck_5,5,mnist_1_vs_7,500,-0.5198243419519551,0.9896571389266424
bottleneck_5,5,mnist_6_vs_8,500,-0.4997579829341615,0.9888864253248488
bottleneck_5,5,fmnist_sandals_vs_boots,500,-0.7362316225076924,0.9840500031198774
bottleneck_5,5,fmnist_shirts_vs_coats,500,-0.2078323036649303,0.9832000059740884
