network_id,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy
2,flat,4,16,16→16→16→16,-0.5931914279823092,0.40680857201769083,-0.9287655223932778,0.24174230001678085,0.7045000195503235
3,flat,5,16,16→16→16→16→16,-0.9604142778421282,0.009398228708031598,-0.7264549059648657,0.2735450940351343,0.6644999980926514
4,flat,6,16,16→16→16→16→16→16,-0.7052722157088905,0.11749601432803909,-0.7415037815209686,0.15150052592420396,0.6520000100135803
5,flat,7,16,16→16→16→16→16→16→16,-0.7588553265279299,0.04793002979114505,-0.5432052058257019,0.26533448616265287,0.6825000047683716
6,flat,8,16,16→16→16→16→16→16→16→16,-0.8341770324501692,0.010028522835833721,-0.6290932760851848,0.13013091478054475,0.8429999947547913
7,flat,9,16,16→16→16→16→16→16→16→16→16,-0.3706910218335995,0.3260498933445006,-0.35590401245043474,0.3868905003123265,0.5945000052452087
8,flat,10,16,16→16→16→16→16→16→16→16→16→16,-0.8221239146948868,0.0035124052480972915,-0.6292736969404127,0.06940600659469133,0.7524999976158142
9,flat,11,16,16→16→16→16→16→16→16→16→16→16→16,-0.5252432529175988,0.09708401890825147,-0.4971855348111609,0.14372524408096737,0.5005000233650208
10,flat,12,16,16→16→16→16→16→16→16→16→16→16→16→16,-0.5503310196228035,0.06373353284248572,-0.25369906421211413,0.4515965568124723,0.8389999866485596
12,flat,4,32,32→32→32→32,-0.9684449673966469,0.03155503260335313,-0.9158340006447035,0.26306172009314427,0.5985000133514404
13,flat,5,32,32→32→32→32→32,-0.9486638232038622,0.013854674942663797,-0.9385859818489422,0.06141401815105785,0.3334999978542328
14,flat,6,32,32→32→32→32→32→32,-0.7369656893771817,0.09468128903559432,-0.7787484189748147,0.12069729401901173,0.3409999907016754
15,flat,7,32,32→32→32→32→32→32→32,-0.1784131127921752,0.701913966496779,-0.3592399564096259,0.4843206246318468,0.6359999775886536
