network,architecture,depth,width,best_k,best_r,best_p,accuracy
bottleneck_10_128,bottleneck,10,128,500,-0.9789489570139575,4.365888220705584e-06,0.5005000233650208
bottleneck_11_128,bottleneck,11,128,600,-0.565433025775533,0.08848114259514728,0.765500009059906
bottleneck_12_128,bottleneck,12,128,350,-0.9997422857956325,4.143590793578585e-16,0.9415000081062317
bottleneck_4_128,bottleneck,4,128,450,-0.9999530144847646,0.006171330681956523,0.5885000228881836
bottleneck_5_128,bottleneck,5,128,500,-0.820560193903546,0.17943980609645394,0.6894999742507935
bottleneck_6_128,bottleneck,6,128,450,-0.6976136884081505,0.1902937631563461,0.4675000011920929
bottleneck_7_128,bottleneck,7,128,600,-0.7911838166417778,0.06085366650092875,0.7195000052452087
bottleneck_8_128,bottleneck,8,128,600,-0.8635809868743445,0.012250133274528804,0.9169999957084656
bottleneck_9_128,bottleneck,9,128,600,-0.7764980944769396,0.023441963027678692,0.8899999856948853
flat_10_128,flat,10,128,600,-0.6255310468664467,0.07158898219679115,0.7450000047683716
flat_10_16,flat,10,16,450,-0.7670983367721638,0.015848266626308834,0.7045000195503235
flat_10_32,flat,10,32,600,-0.773723795764177,0.014426455953170172,0.7465000152587891
flat_10_64,flat,10,64,600,-0.9461908589897391,0.00011287340671007023,0.9495000243186951
flat_11_128,flat,11,128,250,-0.7986268131691094,0.005597434926086807,0.612500011920929
flat_11_16,flat,11,16,600,-0.8448651228777924,0.002092127224698268,0.5
flat_11_32,flat,11,32,600,-0.7450021508285123,0.013417137607954566,0.9194999933242798
flat_11_64,flat,11,64,350,-0.9960087151614275,1.1049620232825544e-09,0.5
flat_12_128,flat,12,128,250,-0.2590691506944866,0.441741715542163,0.8840000033378601
flat_12_16,flat,12,16,600,-0.6031325057860734,0.049489451673487596,0.8895000219345093
flat_12_32,flat,12,32,450,-0.5485319954276469,0.08058657200598841,0.9154999852180481
flat_12_64,flat,12,64,350,-0.8867186251217978,0.00027488791893496103,0.5724999904632568
flat_4_128,flat,4,128,600,-0.977579005647847,0.13506329933816522,0.871999979019165
flat_4_16,flat,4,16,450,-0.9252139757832146,0.24777063497513743,0.3075000047683716
flat_4_32,flat,4,32,450,-0.999273514697928,0.024268047304368583,0.7394999861717224
flat_4_64,flat,4,64,450,-0.9786504484519842,0.1317847653242757,0.3540000021457672
flat_5_128,flat,5,128,350,-0.729560899103256,0.27043910089674394,0.37950000166893005
flat_5_16,flat,5,16,250,-0.9064292671196283,0.09357073288037165,0.7870000004768372
flat_5_32,flat,5,32,350,-0.9162927395786641,0.08370726042133603,0.6754999756813049
flat_5_64,flat,5,64,600,-0.7212807353250684,0.27871926467493147,0.7145000100135803
flat_6_128,flat,6,128,450,-0.8444520391503574,0.07189994458674735,0.5674999952316284
flat_6_16,flat,6,16,600,-0.5754226446023631,0.3100736294302169,0.5684999823570251
flat_6_32,flat,6,32,600,-0.6401485209393903,0.24465928015424268,0.6620000004768372
flat_6_64,flat,6,64,450,-0.7951612428019339,0.10780434050959692,0.7325000166893005
flat_7_128,flat,7,128,500,-0.8660841761572802,0.02569938558991924,0.8970000147819519
flat_7_16,flat,7,16,250,-0.9651916299533626,0.0017963466336062299,0.7204999923706055
flat_7_32,flat,7,32,350,-0.7178758841265106,0.10816332933284688,0.6980000138282776
flat_7_64,flat,7,64,600,-0.8952118882185788,0.01589550709102748,0.7894999980926514
flat_8_128,flat,8,128,250,-0.8577452412391006,0.013557987155588508,0.7354999780654907
flat_8_16,flat,8,16,350,-0.7722282404394682,0.04188358846118502,0.7615000009536743
flat_8_32,flat,8,32,600,-0.45227917631817266,0.3082454778328951,0.6790000200271606
flat_8_64,flat,8,64,600,-0.8139631233500718,0.02586644310988629,0.9244999885559082
flat_9_128,flat,9,128,450,-0.8675343938687898,0.005248958923623972,0.9229999780654907
flat_9_16,flat,9,16,250,-0.6841101403253714,0.061313327522734364,0.7085000276565552
flat_9_32,flat,9,32,600,-0.7580922712960763,0.02928039911773149,0.9225000143051147
flat_9_64,flat,9,64,500,-0.8813976378630531,0.0038086060349301343,0.6570000052452087
